,words,vectors,cluster,cluster_value,closeness_score,sentiment_coeff
0,https_//t,"[-0.0100681   0.01274452  0.09967884  0.157515   -0.15727602 -0.13508211
  0.11996796  0.17200951 -0.09275422 -0.06554545  0.11789546 -0.03419705
 -0.07460693  0.11679386 -0.07861785 -0.03647964  0.05715308 -0.00074177
 -0.14526403 -0.16957755  0.13451396  0.09761862  0.13055485  0.01029704
  0.10661814 -0.05702087 -0.02319165  0.08593879 -0.14194687 -0.06814178
 -0.12614754 -0.00070933  0.16280368 -0.12600416 -0.05544288 -0.02032946
  0.129739   -0.11504613 -0.00575278 -0.09175495 -0.16623172  0.09027736
 -0.15071204 -0.07449494  0.00769175 -0.00056856 -0.14058462  0.15965204
  0.08682252  0.16411847 -0.12034464  0.06173949 -0.07938539  0.01993931
  0.154934   -0.07630435  0.08259788 -0.11829596 -0.07813071  0.17275164
 -0.03055067  0.01553126 -0.08219593 -0.13416196 -0.04638228  0.05050981
 -0.00621178  0.09808428 -0.0537345   0.05260526  0.08414804  0.1380049
 -0.02193143 -0.16116396  0.08464203  0.01590873  0.1298688  -0.01531551
 -0.05203869 -0.15375598 -0.01893524  0.04544019  0.08929504  0.13787547
 -0.10658395  0.04584214  0.09657707 -0.07927926 -0.04098972  0.11235224
  0.03679359  0.01628722  0.05453274  0.01118843  0.1788413   0.1012927
 -0.15298218 -0.1316558   0.00190649  0.11182877]",[1],-1,1.0217500236522647,-1.0217500236522647
1,!,"[-0.14375834  0.07016574  0.09844004  0.0999255   0.13329816 -0.11671518
  0.03208592  0.12256052 -0.05417416 -0.10516137 -0.01603152 -0.15299113
 -0.08917192  0.12419502  0.06332076  0.11704146  0.12256517  0.10238674
 -0.06641763 -0.01763642  0.04844469 -0.0612416   0.1583835  -0.16628583
  0.11065027  0.05046571 -0.08779109  0.05575256 -0.04568059  0.1121793
  0.1712379  -0.05415574 -0.01322754 -0.09708586  0.04595547  0.06418789
  0.10239028  0.08693247  0.15215485  0.14777301  0.13210437 -0.11114436
 -0.15425211 -0.00470415 -0.04280844  0.13886793  0.09205878 -0.03485764
  0.02956763  0.03841051  0.1583255  -0.18474187 -0.01149052  0.06658558
 -0.00754177  0.14249231  0.15700458  0.11218195 -0.02993923  0.14408065
 -0.14970402  0.06564489 -0.09272401 -0.08518685  0.03386775  0.10127894
  0.14283301 -0.09502766  0.12157032  0.12594509 -0.07474864 -0.15883952
  0.09435266  0.10711528 -0.00406856 -0.10516675 -0.1186303  -0.04022738
  0.08108533 -0.06443443 -0.1638807   0.0626893   0.07546627 -0.09054871
  0.0086922  -0.01955976 -0.00855069 -0.1638267   0.06135576 -0.08757883
  0.0296983  -0.01207244  0.03098795 -0.12113396 -0.02999187  0.06049157
  0.09610794 -0.0551215  -0.18069161  0.07703763]",[0],1,1.0328260897388433,1.0328260897388433
2,twitter,"[ 0.00333843  0.06221161 -0.10511681 -0.02318134  0.13787077  0.11534598
 -0.04882658  0.06151013 -0.15094791  0.11000886 -0.09224796 -0.06563167
  0.16538686  0.01814859  0.13608679 -0.10997868  0.09566033  0.15294366
 -0.14738892 -0.09816276 -0.11617506 -0.07155731 -0.0505891  -0.14908157
  0.13294359 -0.08300378  0.13984722  0.07411344 -0.1299066   0.06649568
  0.09981409 -0.11221384 -0.12922017 -0.0441529  -0.16668983 -0.01068959
 -0.01903011  0.04397519  0.01747863 -0.02441712 -0.09848448  0.03614618
 -0.01734965  0.11914472  0.07901825  0.08593657  0.01544391 -0.05471702
 -0.06994276 -0.01033831  0.04698068 -0.06405852 -0.13181835 -0.13017297
 -0.15326196 -0.1002292  -0.02751832 -0.07675617 -0.1298169  -0.05465592
  0.07205001 -0.05396948  0.13161737  0.02700794 -0.14958231  0.17090377
  0.14432864  0.09905475 -0.1270503   0.11338104  0.05939486  0.08254704
  0.07821437  0.03327683 -0.04745419  0.15348046  0.16954453  0.06611269
 -0.05445591  0.00071021  0.01907588 -0.1511179  -0.14673464  0.0124904
  0.0136663  -0.08822098 -0.0893789  -0.12400726  0.15806407 -0.00220504
 -0.06759875  0.11555846  0.15448493 -0.06501417  0.15312003  0.11070805
  0.10319962 -0.00179404  0.12737739 -0.12195244]",[1],-1,1.011988533204679,-1.011988533204679
3,amp,"[-1.38841316e-01  1.69024706e-01  6.30775839e-03 -2.80850846e-02
  8.19162875e-02 -8.33792165e-02  5.94276376e-02  1.34234577e-01
  9.99429971e-02 -1.29541278e-01  1.49614364e-01  7.03085437e-02
  7.13392794e-02 -1.03884317e-01  1.48950562e-01 -3.95136550e-02
  1.56909391e-01 -1.12271816e-01 -1.39304861e-01  1.05859168e-01
  3.70663702e-02 -2.31973547e-02  1.79298252e-01  1.65116206e-01
 -1.72225535e-01  4.22609746e-02  1.00851581e-01  4.85986434e-02
  1.76284146e-02  5.30570559e-03  1.34069528e-02 -4.65401635e-02
 -1.22598752e-01 -3.62691432e-02  5.07030636e-02  1.69881850e-01
  1.43944249e-01 -1.18861705e-01 -1.69981956e-01  1.62071928e-01
  6.03011921e-02  9.46044922e-02  1.06073037e-01 -4.59859073e-02
  1.35166436e-01  5.58491349e-02  3.92834619e-02 -4.88116927e-02
 -4.89760898e-02 -3.26454341e-02  9.78710130e-02 -2.01757587e-02
 -1.73023418e-01 -1.59965679e-01 -1.00029320e-01 -1.53685280e-04
  3.76891010e-02  1.63662702e-01  7.57275373e-02 -6.07640631e-02
 -6.89151639e-04  9.53595415e-02  1.16020329e-01 -1.74660906e-02
  4.95907739e-02 -9.15396810e-02 -1.84010854e-03  1.41100079e-01
 -4.78688926e-02 -1.50662661e-01  8.73734578e-02 -7.75952935e-02
 -1.88676603e-02  1.66707605e-01 -3.01240850e-02 -7.11705983e-02
 -9.17603672e-02  1.19775042e-01 -1.04297243e-01  3.63699943e-02
 -9.48794484e-02  1.01046994e-01  6.87035173e-02  6.12727925e-02
 -3.55564021e-02 -3.37245688e-02  1.48695141e-01  9.22809988e-02
 -2.33031884e-02 -1.67973459e-01 -1.16230644e-01 -2.65846145e-03
 -2.11448818e-02 -3.50814164e-02  1.79410949e-01  7.60677643e-03
  1.02018423e-01 -1.40333518e-01 -5.94744124e-02 -9.48489457e-02]",[1],-1,1.0110946315465048,-1.0110946315465048
4,?,"[-0.12255183  0.02619853 -0.12196148 -0.03607069  0.06503085  0.09491102
  0.02562444  0.04455786 -0.07427468  0.12676457 -0.11484654  0.0757286
 -0.13916287  0.03760571 -0.08419402 -0.07337796 -0.05027165  0.08884513
  0.1013749  -0.09220665  0.01824629 -0.14122194  0.14254786  0.16191153
 -0.05016368  0.01564387  0.01146035  0.08542366 -0.15724197  0.00773341
  0.1209297   0.04800365  0.02074449 -0.16233851  0.1401517  -0.09960973
 -0.05876006  0.05303151 -0.01784483  0.02305798  0.03283378 -0.1152211
 -0.16835849  0.1581009   0.11238689 -0.11703827  0.0542635   0.00049752
  0.08587769 -0.1202231   0.08227758  0.06506278  0.16965866 -0.07422761
 -0.02113617 -0.12724765 -0.16676155 -0.15803923 -0.02617499 -0.10652275
  0.08013608 -0.10261624  0.03335127  0.01399973 -0.07211357 -0.01292348
  0.17990443  0.15962005 -0.07879044  0.16279699 -0.10395592  0.09730485
 -0.05279924  0.05667587  0.05658152  0.12516223 -0.04248665  0.15418601
  0.12822    -0.16629373 -0.14135799 -0.13397698  0.04865757 -0.04098898
 -0.12454513 -0.13481511  0.14171205  0.03512862 -0.15563397 -0.08477102
  0.06096587 -0.07545675  0.08955309 -0.06885848  0.05197214 -0.13498531
  0.10968485  0.07775085  0.00414987  0.05452679]",[0],1,1.009432508849645,1.009432508849645
5,people,"[-0.13580105  0.0406822  -0.00579251 -0.14453629 -0.1458637  -0.03105314
  0.07817949  0.07137585 -0.10864909 -0.10665383 -0.08627228 -0.04157831
 -0.11039744 -0.14768942 -0.03915413 -0.13440822 -0.09144398 -0.10497121
 -0.03870784 -0.03281004 -0.13477841 -0.0029162   0.13955426  0.12150633
 -0.11748444 -0.05762586  0.04440728 -0.16360202  0.01230768  0.10153677
  0.09267965 -0.12531832 -0.07218601 -0.12769662 -0.01257868  0.1571203
  0.08388773  0.06913231  0.07267541 -0.05671206  0.15070054 -0.11122085
 -0.11586857 -0.0345022  -0.00660004 -0.04615684 -0.01611733  0.11219692
 -0.00788197 -0.02057264  0.06010552 -0.14663614  0.11708483  0.1383158
 -0.14496167  0.04033459  0.15892504 -0.1197838  -0.12297182 -0.11380721
  0.12934399 -0.00354792  0.13208151 -0.12750573  0.0412588   0.04648193
  0.02022759  0.03812423 -0.12220912 -0.13818441  0.02917404  0.08978602
  0.12600039  0.08736916 -0.00633057  0.13731351 -0.14623803  0.05479376
  0.0004001   0.05941834  0.11495848 -0.10859492  0.08351772 -0.13723302
 -0.01904167 -0.12695822 -0.08614813  0.14940155 -0.01782106  0.04103017
  0.15207887  0.15173694 -0.13477492 -0.04092303  0.16700573  0.09051573
 -0.02394654 -0.14520931  0.03487234 -0.10494245]",[1],-1,1.0236275829934838,-1.0236275829934838
6,starlink,"[ 0.1470975  -0.07726098 -0.01785345  0.01800258 -0.00255351  0.01812795
  0.1126394   0.00300374 -0.05879727 -0.02688638  0.10464657  0.02528118
 -0.01218921  0.16853912 -0.08767074 -0.01535175  0.1657621   0.11739296
  0.02642328 -0.16088636  0.02182365 -0.03829892  0.17161565  0.0224057
  0.02554186  0.04388217 -0.03441202 -0.0934424   0.00156853 -0.03661921
  0.11960559  0.16461617 -0.01254699  0.05341756 -0.11297585  0.03346802
 -0.12713495 -0.15825284 -0.1070497  -0.1621444   0.12994143 -0.1017245
  0.1484598  -0.13042904  0.0626452   0.17560044 -0.14110619 -0.17978312
 -0.07612373 -0.04681959  0.0001813  -0.16251686 -0.15697992  0.05095585
 -0.14598432 -0.16280474 -0.04168972 -0.15457594 -0.1297474  -0.14906348
 -0.00691433 -0.07995493  0.11533167  0.02848328 -0.06501089  0.11138012
 -0.10532249 -0.08273388 -0.13030197 -0.07573821 -0.03386192  0.11435893
 -0.04897767  0.08785827  0.12600775 -0.13219853  0.08229667  0.11083978
 -0.05395444  0.11833359  0.10854021 -0.1163303  -0.12223918  0.04862609
 -0.03094125 -0.10743677  0.16945204 -0.09266392 -0.11525302 -0.00348785
 -0.04621247  0.01133369 -0.06462383 -0.00650434 -0.00904427  0.01727903
  0.14797576 -0.10502519 -0.03393453  0.10028911]",[1],-1,1.0182718741309111,-1.0182718741309111
7,tesla,"[ 0.14460658 -0.07612255  0.16329303  0.14651854 -0.0766196   0.00172763
  0.08006269 -0.06388818 -0.10045321 -0.11510448 -0.01544374 -0.00762731
  0.08018868 -0.04239941 -0.00121499  0.04180536  0.08867163 -0.00684426
 -0.11338418 -0.16692434  0.00274582  0.1217928   0.03071323 -0.1595296
 -0.14165957  0.11642526 -0.06897769  0.1054862  -0.12287357  0.14990221
 -0.11440538  0.06417119 -0.01918915 -0.12084787 -0.06350059 -0.01537414
 -0.10065913 -0.02588167 -0.13567898  0.0431637   0.16125108 -0.04069679
 -0.01745541  0.06231734  0.1569995  -0.10306978 -0.12482463 -0.05415099
  0.1623082   0.01758533 -0.1460151  -0.03136666  0.16459799 -0.13234738
 -0.09321162  0.16545738 -0.1570503   0.06774913  0.00505445  0.12131327
  0.1462463  -0.04700013 -0.07467419  0.1566956   0.02927767  0.11260248
 -0.16395748  0.17050913 -0.02605464 -0.10314704  0.04991715 -0.0100677
  0.0838123  -0.04089795 -0.07028326  0.04178809  0.14882961 -0.08870179
  0.04531856 -0.14153132 -0.1211584  -0.00994301 -0.15628542  0.05473668
  0.02529051 -0.03568391  0.08559065  0.17433342  0.15444022 -0.0350311
  0.03987503 -0.06586298 -0.14831974  0.11310855 -0.0301944  -0.005757
 -0.03150841 -0.08392675  0.06764179 -0.07523347]",[1],-1,1.0207637061529833,-1.0207637061529833
8,2,"[-0.16676196  0.15917872  0.07483226  0.16173503  0.11728605  0.0474163
  0.174571   -0.07192074 -0.12162916  0.07367354  0.0624683  -0.10350136
  0.17070374 -0.06108167  0.16952166  0.01355795 -0.10870251 -0.04056388
 -0.12841491 -0.05401465  0.02124956  0.16849717  0.16683893 -0.11626259
  0.05976837  0.04097497 -0.0446245  -0.16645843  0.01280395 -0.14270331
  0.11035726 -0.09600344  0.09607691  0.17217523 -0.00678399  0.08274936
 -0.03492722  0.1244715   0.06672515 -0.16014434 -0.04110336  0.06507391
 -0.00213586 -0.01965559 -0.0172421  -0.02764995  0.00816817  0.07109217
 -0.07340126 -0.06450516  0.00660552 -0.00184104 -0.00455197 -0.08085354
  0.07749139 -0.03838361  0.03872808  0.01222267  0.09887867 -0.11465286
 -0.12126762 -0.07389413  0.16030023 -0.02797743 -0.17210971 -0.00639812
 -0.07422891  0.10537896 -0.16765893  0.05351894 -0.16599791  0.01909313
  0.10661252  0.12799056 -0.13005301 -0.10262988 -0.11968017 -0.13779196
 -0.16620064 -0.03938104 -0.01609628 -0.12669441  0.11676774  0.02537474
  0.09801792  0.03069383  0.01025447 -0.127689   -0.03314121  0.07246572
 -0.08597562  0.02326105  0.04818314 -0.02559416  0.17716937  0.14989811
  0.04417688  0.12076265  0.09784362 -0.09656638]",[1],-1,1.0252183928001923,-1.0252183928001923
9,much,"[-0.09191718 -0.11497992 -0.13331683  0.14660458 -0.03359106 -0.12478149
 -0.06889953  0.09696712 -0.05226502 -0.06623468  0.02592028 -0.05417692
 -0.02606078  0.02068386 -0.05135804  0.14931816  0.07128874 -0.18342744
  0.11114568 -0.12191872  0.01584329  0.08320356 -0.08311819 -0.03758439
  0.14250444 -0.07518062 -0.13657919  0.15773894 -0.04388288 -0.08549442
  0.15229708  0.08314118  0.07627215  0.16409557 -0.1556951   0.10019417
  0.03185886  0.06787898  0.02696177  0.07554249  0.07902764  0.11037733
 -0.05717498 -0.08018716 -0.00474104  0.0461072  -0.06125807  0.10492393
  0.07536368  0.13978414  0.05488645  0.13597551 -0.02718761  0.14539109
  0.06772374 -0.14043154 -0.06734121 -0.04278705  0.07909971 -0.01105445
 -0.05201429  0.14317799  0.1589213  -0.02704584 -0.10038237 -0.07946598
 -0.08240636 -0.16819496  0.02356283 -0.07043149  0.04103982  0.09576941
 -0.07056685 -0.17030963  0.03103849 -0.11658265  0.04421986 -0.066511
  0.12238438  0.0124722   0.060961   -0.0499671  -0.03247032  0.14203674
  0.02046775 -0.09871362 -0.14038692  0.02280517  0.11818974  0.09635027
 -0.15491998  0.15808806  0.07033775  0.135653    0.17762993 -0.12342919
 -0.15868253  0.09899392  0.15923513  0.06135578]",[1],-1,0.9994741134137923,-0.9994741134137923
